id,token_symbol,timestamp,ua_token_amount,odos_usdc_return,profit_amount,profit_percentage,input_usdc_amount
2474882,uLINK,2025-03-16 20:58:13.820007+00,73840000000000000000,1000.684905,0.684905,0.0684905000,1000.000000
2474896,uLINK,2025-03-16 20:58:30.258905+00,73890000000000000000,1001.194107,1.194107,0.1194107000,1000.000000
2474909,uLINK,2025-03-16 20:58:53.718232+00,73860000000000000000,1000.668305,0.668305,0.0668305000,1000.000000
2474923,uLINK,2025-03-16 20:59:15.732448+00,73810000000000000000,1000.108323,0.108323,0.0108323000,1000.000000
2474964,uLINK,2025-03-16 21:00:15.802443+00,73770000000000000000,1002.47362,2.47362,0.247362000,1000.000000
2474979,uLINK,2025-03-16 21:00:32.126544+00,73820000000000000000,1001.538025,1.538025,0.1538025000,1000.000000
2474993,uLINK,2025-03-16 21:00:54.80093+00,73790000000000000000,1001.142887,1.142887,0.1142887000,1000.000000
2475007,uLINK,2025-03-16 21:01:13.824797+00,73910000000000000000,1002.317812,2.317812,0.2317812000,1000.000000
2475024,uLINK,2025-03-16 21:01:30.450504+00,73940000000000000000,1002.272328,2.272328,0.2272328000,1000.000000
2475054,uLINK,2025-03-16 21:02:10.029365+00,73840000000000000000,1001.3239,1.3239,0.13239000,1000.000000
2475066,uLINK,2025-03-16 21:02:33.791997+00,73880000000000000000,1001.577119,1.577119,0.1577119000,1000.000000
2475081,uLINK,2025-03-16 21:02:52.696966+00,73900000000000000000,1001.362615,1.362615,0.1362615000,1000.000000
2475098,uLINK,2025-03-16 21:03:11.068384+00,73860000000000000000,1000.670732,0.670732,0.0670732000,1000.000000
2475126,uLINK,2025-03-16 21:03:53.861797+00,73830000000000000000,1000.637352,0.637352,0.0637352000,1000.000000
2475140,uLINK,2025-03-16 21:04:13.926689+00,73860000000000000000,1001.19268,1.19268,0.119268000,1000.000000
2475154,uLINK,2025-03-16 21:04:33.997502+00,73810000000000000000,1000.239774,0.239774,0.0239774000,1000.000000
2475169,uLINK,2025-03-16 21:04:53.946472+00,73860000000000000000,1000.907298,0.907298,0.0907298000,1000.000000
2475182,uLINK,2025-03-16 21:05:13.835994+00,73880000000000000000,1001.694213,1.694213,0.1694213000,1000.000000
2475198,uLINK,2025-03-16 21:05:33.499095+00,73810000000000000000,1000.444596,0.444596,0.0444596000,1000.000000
2475213,uLINK,2025-03-16 21:05:53.746101+00,73820000000000000000,1000.992378,0.992378,0.0992378000,1000.000000
2475229,uLINK,2025-03-16 21:06:13.830192+00,73940000000000000000,1002.760355,2.760355,0.2760355000,1000.000000
2475255,uLINK,2025-03-16 21:06:54.748224+00,73930000000000000000,1002.009241,2.009241,0.2009241000,1000.000000
2475284,uLINK,2025-03-16 21:07:33.809507+00,73970000000000000000,1002.430163,2.430163,0.2430163000,1000.000000
2475315,uLINK,2025-03-16 21:08:11.249852+00,73970000000000000000,1002.395338,2.395338,0.2395338000,1000.000000
2475331,uLINK,2025-03-16 21:08:33.83361+00,74020000000000000000,1003.26782,3.26782,0.326782000,1000.000000
2475347,uLINK,2025-03-16 21:08:53.792045+00,73950000000000000000,1002.310662,2.310662,0.2310662000,1000.000000
2475359,uLINK,2025-03-16 21:09:13.688764+00,73940000000000000000,1002.290242,2.290242,0.2290242000,1000.000000
2475373,uLINK,2025-03-16 21:09:33.786879+00,73960000000000000000,1002.611217,2.611217,0.2611217000,1000.000000
2475389,uLINK,2025-03-16 21:09:53.88176+00,73940000000000000000,1002.187503,2.187503,0.2187503000,1000.000000
2475401,uLINK,2025-03-16 21:10:12.823062+00,73920000000000000000,1002.197675,2.197675,0.2197675000,1000.000000
2475432,uLINK,2025-03-16 21:10:54.79222+00,74040000000000000000,1003.73222,3.73222,0.373222000,1000.000000
2475441,uLINK,2025-03-16 21:11:13.605103+00,74030000000000000000,1003.195538,3.195538,0.3195538000,1000.000000
2475462,uLINK,2025-03-16 21:11:52.943773+00,74090000000000000000,1003.560148,3.560148,0.3560148000,1000.000000
2475473,uLINK,2025-03-16 21:12:13.799958+00,74080000000000000000,1003.269713,3.269713,0.3269713000,1000.000000
2475480,uLINK,2025-03-16 21:12:32.590302+00,74080000000000000000,1002.976366,2.976366,0.2976366000,1000.000000
2475489,uLINK,2025-03-16 21:12:53.685338+00,74100000000000000000,1003.345428,3.345428,0.3345428000,1000.000000
2475499,uLINK,2025-03-16 21:13:10.843996+00,74120000000000000000,1003.406269,3.406269,0.3406269000,1000.000000
2475508,uLINK,2025-03-16 21:13:33.695678+00,74120000000000000000,1003.392962,3.392962,0.3392962000,1000.000000
2475517,uLINK,2025-03-16 21:13:52.874931+00,74110000000000000000,1003.223775,3.223775,0.3223775000,1000.000000
2475547,uLINK,2025-03-16 21:14:53.709555+00,74140000000000000000,1002.872571,2.872571,0.2872571000,1000.000000
2475557,uLINK,2025-03-16 21:15:11.674682+00,74110000000000000000,1002.587354,2.587354,0.2587354000,1000.000000
2475566,uLINK,2025-03-16 21:15:34.693596+00,74220000000000000000,1004.537392,4.537392,0.4537392000,1000.000000
2475576,uLINK,2025-03-16 21:15:54.892635+00,74250000000000000000,1004.33682,4.33682,0.433682000,1000.000000
2475606,uLINK,2025-03-16 21:16:50.018269+00,74170000000000000000,1003.082446,3.082446,0.3082446000,1000.000000
2475617,uLINK,2025-03-16 21:17:13.870322+00,74170000000000000000,1003.341737,3.341737,0.3341737000,1000.000000
2475629,uLINK,2025-03-16 21:17:29.594956+00,74180000000000000000,1003.368642,3.368642,0.3368642000,1000.000000
2475640,uLINK,2025-03-16 21:17:52.226497+00,74120000000000000000,1002.872463,2.872463,0.2872463000,1000.000000
2475650,uLINK,2025-03-16 21:18:10.445966+00,74090000000000000000,1002.317883,2.317883,0.2317883000,1000.000000
2475660,uLINK,2025-03-16 21:18:33.72747+00,74110000000000000000,1003.598833,3.598833,0.3598833000,1000.000000
2475682,uLINK,2025-03-16 21:19:13.806053+00,74040000000000000000,1002.323327,2.323327,0.2323327000,1000.000000
2475701,uLINK,2025-03-16 21:19:49.735418+00,73990000000000000000,1001.969611,1.969611,0.1969611000,1000.000000
2475722,uLINK,2025-03-16 21:20:30.681521+00,74030000000000000000,1003.081628,3.081628,0.3081628000,1000.000000
2475753,uLINK,2025-03-16 21:21:33.89166+00,74030000000000000000,1002.765109,2.765109,0.2765109000,1000.000000
2475771,uLINK,2025-03-16 21:22:10.471325+00,74140000000000000000,1004.162601,4.162601,0.4162601000,1000.000000
2475782,uLINK,2025-03-16 21:22:33.792308+00,74140000000000000000,1004.260671,4.260671,0.4260671000,1000.000000
2475792,uLINK,2025-03-16 21:22:53.568294+00,74140000000000000000,1004.267543,4.267543,0.4267543000,1000.000000
2475802,uLINK,2025-03-16 21:23:12.30366+00,74110000000000000000,1003.734783,3.734783,0.3734783000,1000.000000
2475810,uLINK,2025-03-16 21:23:33.595529+00,74110000000000000000,1003.779059,3.779059,0.3779059000,1000.000000
2475828,uLINK,2025-03-16 21:24:13.020659+00,74120000000000000000,1004.110531,4.110531,0.4110531000,1000.000000
2475838,uLINK,2025-03-16 21:24:34.751361+00,74090000000000000000,1003.629396,3.629396,0.3629396000,1000.000000
2475850,uLINK,2025-03-16 21:24:51.134605+00,74110000000000000000,1004.06287,4.06287,0.406287000,1000.000000
2475860,uLINK,2025-03-16 21:25:14.710207+00,74090000000000000000,1003.668105,3.668105,0.3668105000,1000.000000
2475867,uLINK,2025-03-16 21:25:33.622532+00,74100000000000000000,1004.065799,4.065799,0.4065799000,1000.000000
2475876,uLINK,2025-03-16 21:25:55.633059+00,73960000000000000000,1002.3088,2.3088,0.23088000,1000.000000
2475887,uLINK,2025-03-16 21:26:11.876524+00,73920000000000000000,1002.537464,2.537464,0.2537464000,1000.000000
2475897,uLINK,2025-03-16 21:26:34.803846+00,73920000000000000000,1002.690567,2.690567,0.2690567000,1000.000000
2475907,uLINK,2025-03-16 21:26:53.366466+00,73890000000000000000,1002.997953,2.997953,0.2997953000,1000.000000
2475926,uLINK,2025-03-16 21:27:33.637527+00,73920000000000000000,1003.520511,3.520511,0.3520511000,1000.000000
2475936,uLINK,2025-03-16 21:27:53.827714+00,73990000000000000000,1003.882016,3.882016,0.3882016000,1000.000000
2475954,uLINK,2025-03-16 21:28:33.634601+00,73900000000000000000,1003.112323,3.112323,0.3112323000,1000.000000
2475966,uLINK,2025-03-16 21:28:53.6557+00,73900000000000000000,1003.461736,3.461736,0.3461736000,1000.000000
2475978,uLINK,2025-03-16 21:29:14.649711+00,73880000000000000000,1002.984198,2.984198,0.2984198000,1000.000000
2475989,uLINK,2025-03-16 21:29:33.763163+00,73880000000000000000,1003.508156,3.508156,0.3508156000,1000.000000
