id,token_symbol,timestamp,ua_token_amount,odos_usdc_return,profit_amount,profit_percentage,input_usdc_amount
2164358,uLINK,2025-03-10 09:06:30.420984+00,71472272322253100000,991.8928,-8.1072,-0.81072000,1000.000000
2164367,uLINK,2025-03-10 09:06:43.327731+00,71420000000000000000,992.311862,-7.688138,-0.7688138000,1000.000000
2164372,uLINK,2025-03-10 09:06:47.490355+00,71380853077675500000,991.9236,-8.0764,-0.80764000,1000.000000
2164380,uLINK,2025-03-10 09:07:05.673543+00,71410000000000000000,992.820082,-7.179918,-0.7179918000,1000.000000
2164385,uLINK,2025-03-10 09:07:09.74717+00,71355127177100840000,990.3697,-9.6303,-0.96303000,1000.000000
2164398,uLINK,2025-03-10 09:07:26.106482+00,71382714498653470000,991.2127,-8.7873,-0.87873000,1000.000000
2164407,uLINK,2025-03-10 09:07:45.505292+00,71430000000000000000,993.094649,-6.905351,-0.6905351000,1000.000000
2164412,uLINK,2025-03-10 09:07:47.283499+00,71349149930261160000,990.0202,-9.9798,-0.99798000,1000.000000
2164423,uLINK,2025-03-10 09:08:06.436191+00,71342380363344036000,990.2309,-9.7691,-0.97691000,1000.000000
2164436,uLINK,2025-03-10 09:08:30.201267+00,71323993222918870000,987.2001,-12.7999,-1.27999000,1000.000000
2164449,uLINK,2025-03-10 09:08:50.078583+00,71399431415227040000,987.9032,-12.0968,-1.20968000,1000.000000
2164456,uLINK,2025-03-10 09:09:03.573389+00,71690000000000000000,996.178084,-3.821916,-0.3821916000,1000.000000
2164462,uLINK,2025-03-10 09:09:07.011377+00,71375723202036710000,988.3049,-11.6951,-1.16951000,1000.000000
2164473,uLINK,2025-03-10 09:09:26.811378+00,71493244338186760000,989.9629,-10.0371,-1.00371000,1000.000000
2164481,uLINK,2025-03-10 09:09:45.642859+00,71640000000000000000,993.569076,-6.430924,-0.6430924000,1000.000000
2164487,uLINK,2025-03-10 09:09:47.079015+00,71519886791234270000,990.8809,-9.1191,-0.91191000,1000.000000
2164495,uLINK,2025-03-10 09:10:05.725392+00,71590000000000000000,993.098925,-6.901075,-0.6901075000,1000.000000
2164500,uLINK,2025-03-10 09:10:10.491835+00,71506886606062650000,989.5064,-10.4936,-1.04936000,1000.000000
2164507,uLINK,2025-03-10 09:10:25.648077+00,71650000000000000000,993.557454,-6.442546,-0.6442546000,1000.000000
2164513,uLINK,2025-03-10 09:10:27.007121+00,71538750979218210000,990.9442,-9.0558,-0.90558000,1000.000000
2164539,uLINK,2025-03-10 09:11:07.253771+00,71680000000000000000,994.051189,-5.948811,-0.5948811000,1000.000000
2164540,uLINK,2025-03-10 09:11:07.259126+00,71523700136010560000,989.1075,-10.8925,-1.08925000,1000.000000
2164549,uLINK,2025-03-10 09:11:22.018371+00,71660000000000000000,993.633654,-6.366346,-0.6366346000,1000.000000
2164554,uLINK,2025-03-10 09:11:26.888475+00,71536031641005680000,990.018,-9.982,-0.9982000,1000.000000
2164566,uLINK,2025-03-10 09:11:47.165318+00,71553251457283230000,991.6489,-8.3511,-0.83511000,1000.000000
