id,token_symbol,timestamp,ua_token_amount,odos_usdc_return,profit_amount,profit_percentage,input_usdc_amount
2490570,uADA,2025-03-17 06:03:32.607743+00,1399447900000000000000,988.320835,-11.679165,-1.1679165000,1000.000000
2490580,uADA,2025-03-17 06:03:56.173784+00,1398858700000000000000,988.003692,-11.996308,-1.1996308000,1000.000000
2490590,uADA,2025-03-17 06:04:12.966709+00,1397697600000000000000,987.409271,-12.590729,-1.2590729000,1000.000000
2490600,uADA,2025-03-17 06:04:32.94129+00,1397687800000000000000,988.015041,-11.984959,-1.1984959000,1000.000000
2490611,uADA,2025-03-17 06:04:56.298837+00,1397483700000000000000,987.889786,-12.110214,-1.2110214000,1000.000000
2490621,uADA,2025-03-17 06:05:17.262782+00,1397934600000000000000,988.259923,-11.740077,-1.1740077000,1000.000000
2490631,uADA,2025-03-17 06:05:36.303983+00,1397362000000000000000,987.679978,-12.320022,-1.2320022000,1000.000000
2490648,uADA,2025-03-17 06:06:16.219063+00,1397483700000000000000,988.125467,-11.874533,-1.1874533000,1000.000000
2490658,uADA,2025-03-17 06:06:36.266606+00,1397108700000000000000,988.110242,-11.889758,-1.1889758000,1000.000000
2490677,uADA,2025-03-17 06:07:16.264242+00,1397712600000000000000,988.228746,-11.771254,-1.1771254000,1000.000000
2490685,uADA,2025-03-17 06:07:33.121627+00,1398072400000000000000,988.505009,-11.494991,-1.1494991000,1000.000000
2490697,uADA,2025-03-17 06:07:54.135217+00,1397876100000000000000,988.2647,-11.7353,-1.17353000,1000.000000
2490708,uADA,2025-03-17 06:08:17.272827+00,1398858000000000000000,988.823275,-11.176725,-1.1176725000,1000.000000
2490732,uADA,2025-03-17 06:09:16.176381+00,1399054600000000000000,989.426447,-10.573553,-1.0573553000,1000.000000
2490742,uADA,2025-03-17 06:09:36.31355+00,1398661500000000000000,989.213841,-10.786159,-1.0786159000,1000.000000
2490750,uADA,2025-03-17 06:09:56.313176+00,1398563300000000000000,989.053172,-10.946828,-1.0946828000,1000.000000
2490778,uADA,2025-03-17 06:11:14.946791+00,1400038200000000000000,989.773164,-10.226836,-1.0226836000,1000.000000
2490787,uADA,2025-03-17 06:11:36.224882+00,1400316700000000000000,989.919857,-10.080143,-1.0080143000,1000.000000
2490798,uADA,2025-03-17 06:11:56.183822+00,1399525000000000000000,989.411299,-10.588701,-1.0588701000,1000.000000
2490807,uADA,2025-03-17 06:12:16.34033+00,1400038200000000000000,989.722384,-10.277616,-1.0277616000,1000.000000
2490814,uADA,2025-03-17 06:12:36.044149+00,1400304400000000000000,989.892472,-10.107528,-1.0107528000,1000.000000
2490822,uADA,2025-03-17 06:12:56.222413+00,1399719000000000000000,989.498976,-10.501024,-1.0501024000,1000.000000
2490830,uADA,2025-03-17 06:13:16.298238+00,1399687300000000000000,989.547731,-10.452269,-1.0452269000,1000.000000
2490844,uADA,2025-03-17 06:13:56.188421+00,1399841400000000000000,989.50393,-10.49607,-1.049607000,1000.000000
2490852,uADA,2025-03-17 06:14:16.225805+00,1399644600000000000000,989.219387,-10.780613,-1.0780613000,1000.000000
2490861,uADA,2025-03-17 06:14:37.24406+00,1399479000000000000000,988.795572,-11.204428,-1.1204428000,1000.000000
2490867,uADA,2025-03-17 06:14:56.087519+00,1399476000000000000000,988.793457,-11.206543,-1.1206543000,1000.000000
2490882,uADA,2025-03-17 06:15:36.180525+00,1401094700000000000000,989.637517,-10.362483,-1.0362483000,1000.000000
2490892,uADA,2025-03-17 06:15:56.28946+00,1400826500000000000000,989.347506,-10.652494,-1.0652494000,1000.000000
2490899,uADA,2025-03-17 06:16:17.1822+00,1400931600000000000000,989.380691,-10.619309,-1.0619309000,1000.000000
2490906,uADA,2025-03-17 06:16:37.221069+00,1400842700000000000000,989.614171,-10.385829,-1.0385829000,1000.000000
2490913,uADA,2025-03-17 06:16:56.105611+00,1400723000000000000000,989.492265,-10.507735,-1.0507735000,1000.000000
2490921,uADA,2025-03-17 06:17:17.213433+00,1401023200000000000000,989.698612,-10.301388,-1.0301388000,1000.000000
2490931,uADA,2025-03-17 06:17:37.197139+00,1400644100000000000000,989.418994,-10.581006,-1.0581006000,1000.000000
2490937,uADA,2025-03-17 06:17:57.158427+00,1401023200000000000000,989.638401,-10.361599,-1.0361599000,1000.000000
2490949,uADA,2025-03-17 06:18:36.102865+00,1401101900000000000000,989.790423,-10.209577,-1.0209577000,1000.000000
2490957,uADA,2025-03-17 06:18:56.231528+00,1401096400000000000000,989.524268,-10.475732,-1.0475732000,1000.000000
2490971,uADA,2025-03-17 06:19:36.127725+00,1403098000000000000000,990.710739,-9.289261,-0.9289261000,1000.000000
2490989,uADA,2025-03-17 06:20:16.230527+00,1403221000000000000000,990.757372,-9.242628,-0.9242628000,1000.000000
2490998,uADA,2025-03-17 06:20:33.51355+00,1403788500000000000000,991.16963,-8.83037,-0.883037000,1000.000000
2491026,uADA,2025-03-17 06:21:37.266865+00,1405076700000000000000,990.811023,-9.188977,-0.9188977000,1000.000000
2491036,uADA,2025-03-17 06:21:57.289554+00,1404797200000000000000,990.418961,-9.581039,-0.9581039000,1000.000000
2491070,uADA,2025-03-17 06:26:06.074726+00,1406368100000000000000,989.839815,-10.160185,-1.0160185000,1000.000000
2491079,uADA,2025-03-17 06:27:52.782397+00,1407956900000000000000,989.879644,-10.120356,-1.0120356000,1000.000000
2491112,uADA,2025-03-17 06:38:30.104136+00,1411368200000000000000,990.65459,-9.34541,-0.934541000,1000.000000
2491127,uADA,2025-03-17 06:39:07.359775+00,1408406200000000000000,989.660515,-10.339485,-1.0339485000,1000.000000
2491151,uADA,2025-03-17 06:40:09.186227+00,1408554500000000000000,990.607485,-9.392515,-0.9392515000,1000.000000
2491161,uADA,2025-03-17 06:40:29.345759+00,1407998900000000000000,990.035354,-9.964646,-0.9964646000,1000.000000
2491169,uADA,2025-03-17 06:40:50.232248+00,1407161000000000000000,989.376927,-10.623073,-1.0623073000,1000.000000
2491189,uADA,2025-03-17 06:41:50.293022+00,1407757900000000000000,990.105728,-9.894272,-0.9894272000,1000.000000
2491201,uADA,2025-03-17 06:42:29.185887+00,1405373500000000000000,988.470283,-11.529717,-1.1529717000,1000.000000
2491210,uADA,2025-03-17 06:42:49.317628+00,1404851700000000000000,988.09237,-11.90763,-1.190763000,1000.000000
2491214,uADA,2025-03-17 06:43:09.095963+00,1404437200000000000000,988.558892,-11.441108,-1.1441108000,1000.000000
2491222,uADA,2025-03-17 06:43:30.413108+00,1403711900000000000000,988.546339,-11.453661,-1.1453661000,1000.000000
2491231,uADA,2025-03-17 06:43:50.284784+00,1403862300000000000000,988.649994,-11.350006,-1.1350006000,1000.000000
2491236,uADA,2025-03-17 06:44:10.200418+00,1404338400000000000000,988.832531,-11.167469,-1.1167469000,1000.000000
2490060,uAPT,2025-03-17 05:44:37.237509+00,185766000000000000000,983.848881,-16.151119,-1.6151119000,1000.000000
2490076,uAPT,2025-03-17 05:45:16.744906+00,185766000000000000000,983.76815,-16.23185,-1.623185000,1000.000000
2490087,uAPT,2025-03-17 05:45:37.06039+00,186113000000000000000,985.570578,-14.429422,-1.4429422000,1000.000000
2490122,uAPT,2025-03-17 05:46:46.828716+00,185636901682343870000,985.1911,-14.8089,-1.48089000,1000.000000
2490131,uAPT,2025-03-17 05:46:56.793604+00,186113000000000000000,984.961683,-15.038317,-1.5038317000,1000.000000
2490140,uAPT,2025-03-17 05:47:06.119029+00,185821616159483040000,988.024,-11.976,-1.1976000,1000.000000
2490146,uAPT,2025-03-17 05:47:16.54793+00,186113000000000000000,984.487526,-15.512474,-1.5512474000,1000.000000
2490165,uAPT,2025-03-17 05:48:16.437356+00,186462000000000000000,986.511418,-13.488582,-1.3488582000,1000.000000
2490174,uAPT,2025-03-17 05:48:36.911455+00,186462000000000000000,986.334579,-13.665421,-1.3665421000,1000.000000
2490184,uAPT,2025-03-17 05:48:56.858409+00,186462000000000000000,986.256795,-13.743205,-1.3743205000,1000.000000
2490192,uAPT,2025-03-17 05:49:15.728622+00,186462000000000000000,986.23574,-13.76426,-1.376426000,1000.000000
2490203,uAPT,2025-03-17 05:49:35.946364+00,186462000000000000000,986.236296,-13.763704,-1.3763704000,1000.000000
2490211,uAPT,2025-03-17 05:49:55.735371+00,186113000000000000000,984.43083,-15.56917,-1.556917000,1000.000000
2490218,uAPT,2025-03-17 05:50:16.676828+00,186462000000000000000,986.495292,-13.504708,-1.3504708000,1000.000000
2490225,uAPT,2025-03-17 05:50:36.676118+00,186113000000000000000,984.689193,-15.310807,-1.5310807000,1000.000000
2490235,uAPT,2025-03-17 05:50:56.907433+00,186462000000000000000,986.896878,-13.103122,-1.3103122000,1000.000000
2490243,uAPT,2025-03-17 05:51:15.724796+00,186462000000000000000,987.002289,-12.997711,-1.2997711000,1000.000000
